paper_id,v_all,v_entities,v_events,v_relations,v_original_qa,v_counterfactual_qa,v_global,v_orig_for_bias,v_cf_for_bias,IS,BPR_flag,bias_mode,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
paper_0010,0.8,0.75,0.6666666666666666,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0
paper_0011,0.8,0.75,0.6666666666666666,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0
paper_0012,0.7333333333333333,0.5,0.6666666666666666,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0
paper_0013,0.8,0.5,1.0,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
paper_0014,0.6666666666666666,0.75,0.3333333333333333,1.0,1.0,0.5,0.0,0.75,0.3333333333333333,0.4166666666666667,1,proxy_from_single_validation,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0
paper_0015,0.8666666666666667,1.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
paper_0016,0.8,0.75,0.6666666666666666,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0
paper_0017,0.8,0.75,0.6666666666666666,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0
paper_0018,0.8666666666666667,0.75,1.0,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
paper_0019,0.8,0.75,0.6666666666666666,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0
paper_0020,0.6,0.75,0.6666666666666666,0.5,1.0,0.0,0.0,0.75,0.0,0.75,1,proxy_from_single_validation,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0
paper_0021,0.9333333333333333,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,proxy_from_single_validation,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
paper_0022,0.6,0.25,0.6666666666666666,1.0,1.0,0.5,0.0,0.75,0.3333333333333333,0.4166666666666667,1,proxy_from_single_validation,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0
paper_0023,0.7333333333333333,0.75,0.6666666666666666,1.0,1.0,0.5,0.0,0.75,0.3333333333333333,0.4166666666666667,1,proxy_from_single_validation,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0
paper_0024,0.7333333333333333,0.75,0.3333333333333333,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0
paper_0025,0.6666666666666666,0.5,0.6666666666666666,1.0,1.0,0.5,0.0,0.75,0.3333333333333333,0.4166666666666667,1,proxy_from_single_validation,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0
paper_0026,0.8666666666666667,1.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
paper_0027,0.7333333333333333,0.75,0.6666666666666666,1.0,1.0,0.5,0.0,0.75,0.3333333333333333,0.4166666666666667,1,proxy_from_single_validation,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0
paper_0028,0.8,0.75,0.6666666666666666,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0
paper_0029,0.8,0.5,1.0,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
paper_0030,0.8666666666666667,0.75,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,proxy_from_single_validation,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
paper_0031,0.6666666666666666,0.5,0.6666666666666666,1.0,1.0,0.5,0.0,0.75,0.3333333333333333,0.4166666666666667,1,proxy_from_single_validation,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0
paper_0032,0.7333333333333333,1.0,0.0,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0
paper_0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,proxy_from_single_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paper_0034,0.5333333333333333,0.0,0.6666666666666666,1.0,1.0,0.5,0.0,0.75,0.3333333333333333,0.4166666666666667,1,proxy_from_single_validation,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0
paper_0035,0.8666666666666667,1.0,1.0,1.0,1.0,0.5,0.0,0.75,0.3333333333333333,0.4166666666666667,1,proxy_from_single_validation,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
paper_0036,0.6,0.5,0.0,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0
paper_0037,0.6666666666666666,0.75,0.0,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0
paper_0038,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,proxy_from_single_validation,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
paper_0039,0.6,0.75,0.0,1.0,1.0,0.5,0.0,0.75,0.3333333333333333,0.4166666666666667,1,proxy_from_single_validation,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0
paper_0040,0.6666666666666666,1.0,0.0,1.0,1.0,0.5,0.0,0.75,0.3333333333333333,0.4166666666666667,1,proxy_from_single_validation,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0
paper_0041,0.6666666666666666,0.75,0.6666666666666666,0.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0
paper_0042,0.6666666666666666,0.25,0.6666666666666666,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0
paper_0043,0.7333333333333333,0.5,0.6666666666666666,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0
paper_0044,0.6,0.75,0.0,1.0,1.0,0.5,0.0,0.75,0.3333333333333333,0.4166666666666667,1,proxy_from_single_validation,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0
paper_0045,0.6666666666666666,0.25,0.6666666666666666,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0
paper_0046,0.8,0.75,0.6666666666666666,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0
paper_0047,0.7333333333333333,0.5,0.6666666666666666,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0
paper_0048,0.6666666666666666,0.75,0.6666666666666666,0.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0
paper_0049,0.8666666666666667,1.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
paper_0050,0.5333333333333333,0.75,0.0,0.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0
paper_0051,0.8,0.75,0.6666666666666666,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0
paper_0052,0.8,0.75,0.6666666666666666,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0
paper_0053,0.8,0.75,0.6666666666666666,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0
paper_0054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,proxy_from_single_validation,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
paper_0055,0.8,0.75,0.6666666666666666,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0
paper_0056,0.8,0.75,0.6666666666666666,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0
paper_0057,0.5333333333333333,0.0,0.6666666666666666,1.0,1.0,0.5,0.0,0.75,0.3333333333333333,0.4166666666666667,1,proxy_from_single_validation,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0
paper_0058,0.7333333333333333,0.75,1.0,0.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0
paper_0059,0.7333333333333333,0.5,0.6666666666666666,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0
paper_0060,0.6666666666666666,0.75,0.0,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0
paper_0061,0.7333333333333333,0.75,0.6666666666666666,1.0,1.0,0.5,0.0,0.75,0.3333333333333333,0.4166666666666667,1,proxy_from_single_validation,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0
paper_0062,0.8,0.75,0.6666666666666666,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0
paper_0063,0.4,0.0,0.6666666666666666,0.0,1.0,0.5,0.0,0.75,0.3333333333333333,0.4166666666666667,1,proxy_from_single_validation,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0
paper_0064,0.8,0.75,1.0,1.0,1.0,0.5,0.0,0.75,0.3333333333333333,0.4166666666666667,1,proxy_from_single_validation,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
paper_0065,0.8,0.75,0.6666666666666666,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0
paper_0066,0.7333333333333333,0.5,0.6666666666666666,1.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.08333333333333337,0,proxy_from_single_validation,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0
